Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,climbRate,altitudeRelative,altitudeAMSL,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2021-10-29 12:22:32.961,-2.4,-1.0,18,0.0,0.0,0.0,0.2,0.3,0.5,0.6,23.4,0.0,00:00:10,0.8,0,--.--,--.--,--.--,15,0000:00:00,0,0,0,49.12,0.30,44,--.--,99,--.--,--:--:--,0,14.74,12:22:32,29/10/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,11.2552014,75.8292454,43PEN 90514 44325,0.6,1.0,0.0,4,18,--.--,--.--,--.--,--.--,--.--,--.--,47.54,--.--,--.--,112,0,0.7,0.8,1.6,0,0,0,--.--,--.--,--.--
2021-10-29 12:22:33.962,-1.8,-1.2,345,0.0,0.0,0.0,0.1,0.1,0.4,1.0,23.8,0.0,00:00:11,0.8,0,--.--,--.--,--.--,14,0000:00:00,0,0,0,49.01,0.19,44,--.--,99,--.--,--:--:--,0,9.31,12:22:33,29/10/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,11.2552010,75.8292465,43PEN 90514 44325,0.6,1.0,0.0,4,18,--.--,--.--,--.--,--.--,--.--,--.--,47.55,--.--,--.--,112,0,1.1,1.3,2.2,0,0,0,--.--,--.--,--.--
2021-10-29 12:22:34.961,-1.1,-1.5,353,0.0,0.0,0.0,0.1,0.2,0.4,1.3,24.1,0.0,00:00:12,0.8,0,--.--,--.--,--.--,15,0000:00:00,0,0,0,49.03,0.31,44,--.--,99,--.--,--:--:--,0,15.20,12:22:34,29/10/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,11.2552005,75.8292448,43PEN 90514 44325,0.6,1.0,0.0,4,18,--.--,--.--,--.--,--.--,--.--,--.--,47.57,--.--,--.--,112,0,1.5,1.7,3.5,0,0,0,--.--,--.--,--.--
2021-10-29 12:22:35.962,-0.7,-1.1,356,0.0,0.0,0.0,0.0,0.2,0.3,1.6,24.4,0.0,00:00:13,0.8,0,--.--,--.--,--.--,14,0000:00:00,0,0,0,48.98,0.29,44,--.--,99,--.--,--:--:--,0,14.21,12:22:35,29/10/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,11.2552016,75.8292433,43PEN 90513 44325,0.6,1.0,0.0,4,17,--.--,--.--,--.--,--.--,--.--,--.--,47.59,--.--,--.--,112,0,1.0,1.0,2.5,0,0,0,--.--,--.--,--.--
2021-10-29 12:22:36.963,0.3,-1.2,359,0.0,0.0,0.0,0.1,0.1,0.3,1.8,24.6,0.0,00:00:14,0.8,0,--.--,--.--,--.--,14,0000:00:00,0,0,0,49.01,0.30,44,--.--,99,--.--,--:--:--,0,14.70,12:22:36,29/10/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,11.2552015,75.8292418,43PEN 90513 44325,0.6,1.0,295.7,4,18,--.--,--.--,--.--,--.--,--.--,--.--,47.61,--.--,--.--,112,0,1.4,1.6,2.9,0,0,0,--.--,--.--,--.--
2021-10-29 12:22:37.960,-0.2,-2.7,1,0.0,0.0,0.0,0.3,0.3,0.3,2.1,24.9,0.0,00:00:15,1.0,0,--.--,--.--,--.--,14,0000:00:00,0,0,0,48.96,0.28,44,--.--,99,--.--,--:--:--,0,13.71,12:22:37,29/10/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,11.2552004,75.8292412,43PEN 90513 44325,0.6,1.0,295.7,4,18,--.--,--.--,--.--,--.--,--.--,--.--,47.62,--.--,--.--,112,0,1.0,0.9,2.1,0,0,0,--.--,--.--,--.--
2021-10-29 12:22:38.961,-2.1,-3.4,1,0.0,0.0,0.0,0.3,0.3,0.2,2.4,25.2,0.0,00:00:16,1.1,0,--.--,9,--.--,14,0000:00:00,0,0,0,48.91,0.28,44,--.--,99,--.--,--:--:--,0,13.70,12:22:38,29/10/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,11.2551983,75.8292424,43PEN 90513 44324,0.6,1.0,141.2,4,16,--.--,--.--,--.--,--.--,--.--,--.--,47.64,--.--,--.--,112,0,1.5,1.6,3.3,0,0,0,--.--,--.--,--.--
2021-10-29 12:22:39.963,-2.7,-2.7,0,0.0,0.0,0.0,0.3,0.3,0.2,2.6,25.4,0.0,00:00:17,1.1,0,--.--,3,--.--,14,0000:00:00,0,0,0,48.93,0.29,45,--.--,99,--.--,--:--:--,0,14.19,12:22:39,29/10/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,11.2551975,75.8292452,43PEN 90514 44324,0.6,1.0,93.2,4,18,--.--,--.--,--.--,--.--,--.--,--.--,47.66,--.--,--.--,112,0,1.3,1.4,2.7,0,0,0,--.--,--.--,--.--
2021-10-29 12:22:40.962,-3.8,-1.2,1,0.0,0.0,0.0,0.3,0.4,0.1,3.0,25.8,0.0,00:00:18,0.9,0,--.--,--.--,--.--,14,0000:00:00,0,0,0,48.85,0.16,45,--.--,99,--.--,--:--:--,0,7.82,12:22:40,29/10/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,11.2551981,75.8292484,43PEN 90514 44324,0.6,1.0,55.7,4,18,--.--,--.--,--.--,--.--,--.--,--.--,47.67,--.--,--.--,112,0,1.0,1.2,2.6,0,0,0,--.--,--.--,--.--
2021-10-29 12:22:41.962,-1.1,-0.2,1,0.0,0.0,0.0,0.3,0.5,0.2,3.2,26.1,0.0,00:00:19,0.7,0,--.--,--.--,--.--,14,0000:00:00,0,0,0,48.89,0.29,45,--.--,99,--.--,--:--:--,0,14.18,12:22:41,29/10/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,11.2552002,75.8292476,43PEN 90514 44325,0.6,1.0,355.4,4,18,--.--,--.--,--.--,--.--,--.--,--.--,47.69,--.--,--.--,112,0,0.9,1.2,2.2,0,0,0,--.--,--.--,--.--
